letter,word,category,example_sentences,chinese_word,chinese_example,word_english,example_sentences_english
D,dürfen,Allgemein/Grammatik,Sie dürfen hier nicht rauchen. | Darf ich Sie zu einem Kaffee einladen? | Es darf nicht mehr als 15 Euro kosten.,可以；被允许,您不能在这里吸烟。| 我可以请您喝杯咖啡吗？| 不能超过15欧元。,may; to be allowed to,You are not allowed to smoke here. | May I invite you for a coffee? | It must not cost more than 15 euros.
D,der Durst,Essen/Trinken,Hast du etwas zu trinken? Ich habe großen Durst.,口渴,你有喝的吗？我很渴。,thirst,Do you have something to drink? I am very thirsty.
D,(sich) duschen,Wohnen,"Ich bade nicht so gern, ich dusche lieber.",淋浴,我不太喜欢泡澡，我更喜欢淋浴。,to shower,I do not like taking baths very much; I prefer showering.
D,die Dusche,Wohnen,Unsere Wohnung hat nur eine Dusche.,淋浴间；淋浴,我们的公寓只有一个淋浴间。,shower,Our apartment has only a shower.
E,"die Ecke, -n",Wohnen,An der nächsten Ecke links.,角落；街角,在下一个路口左转。,corner,Turn left at the next corner.
E,"die Ehefrau, -en/der Ehemann, ä, er",Person,Das ist mein (Ehe-) Mann/meine (Ehe-) Frau.,妻子；丈夫,这是我的丈夫/妻子。,wife; husband,This is my husband/my wife.
E,"das Ei, -er",Allgemein/Grammatik,Möchtest du ein Ei zum Frühstück?,鸡蛋,早餐你想要一个鸡蛋吗？,egg,Would you like an egg for breakfast?
E,eilig,Allgemein/Grammatik,Hast du es eilig?,急的；赶时间,你赶时间吗？,urgent; in a hurry,Are you in a hurry?
E,ein- einfach,Allgemein/Grammatik,"Ich nehme ein Bier. Willst du auch eins? | Ist hier einer, der das kann? | Die Prüfung ist ganz einfach. | Hin und zurück? – Nein, bitte nur einfach. | Ich brauche nur ein einfaches Zimmer.",一个；简单；单程,我要一杯啤酒。你也要一个吗？| 这里有人会做这个吗？| 考试很简单。| 往返吗？——不，请只要单程。| 我只需要一个简单的房间。,one; simple; single,"I will take a beer. Do you want one too? | Is there anyone here who can do that? | The exam is quite easy. | There and back? No, one way only, please. | I only need a simple room."
E,der Eingang,Reisen/Verkehr,Der Eingang ist um die Ecke.,入口,入口在拐角处。,entrance,The entrance is around the corner.
E,einkaufen,Einkaufen/Gebrauchsartikel,Ich muss noch für morgen einkaufen.,购物,我还得为明天买东西。,to shop,I still have to shop for tomorrow.
E,einladen,Freizeit/Unterhaltung,Darf ich Sie zu einem Kaffee einladen?,邀请,我可以请您喝杯咖啡吗？,to invite,May I invite you for a coffee?
E,einmal,Zeit/Datum,Diese Prüfung mache ich nicht noch einmal.,一次；再一次,这场考试我不会再考一次。,once; one time,I am not taking this exam again.
E,einsteigen,Reisen/Verkehr,"Schnell, steig ein, der Zug fährt gleich.",上车,快上车，火车马上开了。,to get in; to board,"Quick, get in; the train is about to leave."
E,der Eintritt,Freizeit/Unterhaltung,Der Preis für den Eintritt ist 5 Euro.,入场；门票,入场价格是5欧元。,admission; entrance fee,The admission price is 5 euros.
E,das Einzelzimmer,Reisen/Verkehr,Haben Sie noch ein Einzelzimmer?,单人间,您还有单人间吗？,single room,Do you still have a single room?
E,die Eltern (pl.),Person,Meine Eltern leben in Spanien.,父母,我的父母住在西班牙。,parents,My parents live in Spain.
E,"die E-Mail, -s",Kommunikation/Sprache,Ich habe Ihre E-Mail nicht bekommen.,电子邮件,我没有收到您的电子邮件。,email,I did not receive your email.
E,"der Empfänger, –",Dienstleistungen,"Auf dem Brief steht dein Name, also bist du der | Empfänger.",收件人,信上写着你的名字，所以你就是收件人。,recipient,"Your name is on the letter, so you are the recipient."
E,empfehlen,Gesundheit/Körper,Welchen Wein können Sie mir empfehlen?,推荐,您能给我推荐哪种葡萄酒？,to recommend,Which wine can you recommend to me?
E,enden,Allgemein/Grammatik,Die Straße endet hier.,结束,这条街到这里结束。,to end,The street ends here.
E,das Ende,Zeit/Datum,Sie wohnt am Ende der Straße. | Er bekommt sein Geld am Ende des Monats.,末尾；结束,她住在街道尽头。| 他月底拿到钱。,end,She lives at the end of the street. | He gets his money at the end of the month.
E,entschuldigen,Kommunikation/Sprache,Entschuldigen Sie bitte!,原谅；道歉,请原谅！,to excuse; excuse me,"Excuse me, please!"
E,die Entschuldigung,Kommunikation/Sprache,Entschuldigung! – Bitte.,对不起；道歉,对不起！——没关系。,excuse; apology,Excuse me! - You're welcome.
E,er,Allgemein/Grammatik,Er heißt Ali.,他,他叫阿里。,he,His name is Ali.
E,"das Ergebnis, -se",Erziehung/Ausbildung/Lernen,Das Ergebnis des Tests bekommen Sie in zwei Wochen.,结果,考试结果两周后给您。,result,You will get the test result in two weeks.
E,erklären,Erziehung/Ausbildung/Lernen,Kannst du mir das erklären?,解释,你能给我解释一下吗？,to explain,Can you explain that to me?
E,erlauben,Allgemein/Grammatik,Rauchen ist hier nicht erlaubt.,允许,这里不允许吸烟。,to allow,Smoking is not allowed here.
E,"der Erwachsene, -n",Person,Dieser Film ist nur für Erwachsene.,成年人,这部电影只适合成年人。,adult,This film is only for adults.
E,erzählen,Kommunikation/Sprache,Wir müssen euch etwas erzählen!,讲述,我们必须告诉你们一些事情！,to tell; to narrate,We have to tell you something!
E,es,Allgemein/Grammatik,Es regnet.,它；这,下雨了。,it,It is raining.
E,essen,Essen/Trinken,Was gibt es zu essen?,吃,有什么吃的？,to eat,What is there to eat?
E,das Essen,Essen/Trinken,Das Essen ist heute sehr gut.,食物；饭菜,今天的饭菜很好。,food; meal,The food is very good today.
E,euer,Person,Euer Kurs beginnt heute.,你们的,你们的课程今天开始。,your (plural informal),Your course begins today.
F,fahren,Reisen/Verkehr,Ich fahre mit dem Auto zur Arbeit.,行驶；乘车；开车,我开车去上班。,to drive; to travel,I drive to work by car.
F,der Fahrer,Reisen/Verkehr,Bitte nicht mit dem Fahrer sprechen!,司机,请不要和司机说话！,driver,Please do not speak with the driver!
F,"die Fahrkarte, -n",Reisen/Verkehr,Hast du schon eine Fahrkarte?,车票,你已经有车票了吗？,ticket,Do you already have a ticket?
F,"das Fahrrad, -ä, er",Reisen/Verkehr,Fährst du mit dem Fahrrad oder mit dem Auto?,自行车,你骑自行车还是开车？,bicycle,Are you going by bicycle or by car?
F,falsch,Allgemein/Grammatik,Das ist falsch.,错误的,这是错的。,wrong; false,That is wrong.
F,"die Familie, -n",Person,Meine Familie lebt in Spanien.,家庭；家人,我的家人住在西班牙。,family,My family lives in Spain.
F,der Familienname,Person,Meine Familiennamen sind García González.,姓,我的姓是加西亚·冈萨雷斯。,family name; surname,My surnames are García González.
F,der Familienstand,Person,Bei „Familienstand“ musst du „ledig“ ankreuzen.,婚姻状况,在“婚姻状况”那里你必须勾选“未婚”。,marital status,For marital status you have to tick single.
F,"die Farbe, -n",Einkaufen/Gebrauchsartikel,Die Farbe gefällt mir gut.,颜色,我喜欢这个颜色。,color,I like the color.
F,"das Fax, -e",Einkaufen/Gebrauchsartikel,Schicken Sie uns einfach ein Fax!,传真,直接给我们发一份传真吧！,fax,Just send us a fax!
F,Feier- feiern,Freizeit/Unterhaltung,"z. B. Feierabend, Feiertag | Am Montag ist Feiertag. | Wir feiern heute meinen Geburtstag.",庆祝；节日,例如下班时间、节日 | 星期一是节日。| 我们今天庆祝我的生日。,celebration; to celebrate,"For example: end of workday, holiday. | Monday is a holiday. | We are celebrating my birthday today."
F,fehlen,Gesundheit/Körper,"Herr Müller ist nicht da, er fehlt schon seit drei Tagen. | Was fehlt Ihnen?",缺少；不在；哪里不舒服,米勒先生不在，他已经缺席三天了。| 您哪里不舒服？,to be missing; to be wrong,Mr. Müller is not here; he has been absent for three days. | What is wrong with you?
F,"der Fehler, –",Erziehung/Ausbildung/Lernen,Diesen Fehler mache ich immer.,错误,这个错误我总是犯。,mistake; error,I always make this mistake.
F,fernsehen,Freizeit/Unterhaltung,Wollen wir heute Abend mal fernsehen?,看电视,我们今天晚上看会儿电视吗？,to watch television,Shall we watch television tonight?
F,fertig,Allgemein/Grammatik,Bist du fertig? | Ist mein Auto schon fertig?,完成的；准备好的,你准备好了吗？| 我的车已经修好了吗？,finished; ready,Are you finished? | Is my car ready yet?
F,das Feuer,Umwelt,Haben Sie Feuer?,火；打火机,您有火吗？,fire; lighter,Do you have a light?
F,das Fieber,Gesundheit/Körper,Mein Mann hat noch immer Fieber.,发烧,我丈夫还在发烧。,fever,My husband still has a fever.
F,"der Film, -e",Freizeit/Unterhaltung,Ich möchte gern diesen Film sehen.,电影,我想看这部电影。,film; movie,I would like to see this film.
F,finden,Allgemein/Grammatik,Wir müssen den Schlüssel finden.,找到；觉得,我们必须找到钥匙。,to find,We have to find the key.
F,die Firma,Arbeit/Beruf,Er arbeitet jetzt bei einer anderen Firma.,公司,他现在在另一家公司工作。,company,He now works at another company.
F,"die Flasche, -n",Essen/Trinken,"Eine Flasche Bier, bitte.",瓶子,请来一瓶啤酒。,bottle,"A bottle of beer, please."
F,das Fleisch,Essen/Trinken,Fleisch mag ich nicht.,肉,我不喜欢肉。,meat,I do not like meat.
F,fliegen,Reisen/Verkehr,Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.,飞；乘飞机,我不喜欢坐飞机。所以我坐火车。,to fly,I do not like flying. That is why I go by train.
F,abfliegen,Reisen/Verkehr,Wann fliegst du ab?,起飞；出发,你什么时候起飞？,to depart by plane,When do you fly out?
F,der Abflug,Reisen/Verkehr,Der Abflug ist um 11.20 Uhr.,起飞；航班出发,起飞时间是11点20分。,departure by plane,The departure is at 11:20.
F,der Flughafen,Reisen/Verkehr,Kannst du mich zum Flughafen bringen?,机场,你能把我送到机场吗？,airport,Can you take me to the airport?
F,das Flugzeug,Reisen/Verkehr,Das Flugzeug aus Berlin kommt heute später an.,飞机,从柏林来的飞机今天晚点到达。,airplane,The plane from Berlin is arriving later today.
F,"das Formular, -e",Dienstleistungen,Sie müssen dieses Formular ausfüllen.,表格,您必须填写这张表格。,form,You have to fill out this form.
F,"das Foto, -s",Freizeit/Unterhaltung,Darf ich ein Foto machen?,照片,我可以拍一张照片吗？,photo,May I take a photo?
F,fragen,Kommunikation/Sprache,Er möchte Sie etwas fragen. Wann kommen Sie?,问,他想问您一些事情。您什么时候来？,to ask,He would like to ask you something. When are you coming?
F,"die Frage, -n",Kommunikation/Sprache,Ich habe eine Frage.,问题,我有一个问题。,question,I have a question.
F,"die Frau, -en",Person,"Das ist Frau Becker. | Guten Tag, Frau Schmitt! | Hier arbeiten mehr Frauen als Männer.",女士；女人；妻子,这是贝克女士。| 您好，施密特女士！| 这里工作的女人比男人多。,woman; Mrs.; wife,"This is Mrs. Becker. | Good day, Mrs. Schmitt! | More women than men work here."
F,frei,Allgemein/Grammatik,Ist der Platz noch frei?,空闲的；免费的,这个座位还空着吗？,free; available,Is the seat still free?
F,die Freizeit,Freizeit/Unterhaltung,In meiner Freizeit spiele ich oft Fußball.,业余时间,在我的业余时间，我经常踢足球。,free time,In my free time I often play soccer.
F,fremd,Allgemein/Grammatik,Das weiß ich nicht; ich bin fremd hier.,陌生的；外来的,我不知道；我在这里是外地人。,foreign; unfamiliar,I do not know that; I am a stranger here.
F,(sich) freuen,Freizeit/Unterhaltung,Ich freue mich auf den Urlaub.,高兴；期待,我期待假期。,to be happy; to look forward,I am looking forward to the vacation.
F,"der Freund, -e",Person,Das ist ein Freund von mir. | Das ist meine Freundin.,朋友；男朋友；女朋友,这是我的一个朋友。| 这是我的女朋友。,friend,This is a friend of mine. | This is my girlfriend.
F,früher,Zeit/Datum,Früher waren wir oft zusammen im Kino.,以前,以前我们经常一起去电影院。,earlier; formerly,In the past we were often at the cinema together.
F,frühstücken,Essen/Trinken,Am Sonntag frühstücke ich gern im Bett.,吃早餐,星期天我喜欢在床上吃早餐。,to have breakfast,On Sundays I like to have breakfast in bed.
F,das Frühstück,Essen/Trinken,Möchtest du ein Ei zum Frühstück?,早餐,早餐你想要一个鸡蛋吗？,breakfast,Would you like an egg for breakfast?
F,die Führung,Reisen/Verkehr,Die Führung durch das Haus beginnt in 3 Minuten.,导览；带领参观,房屋导览三分钟后开始。,guided tour,The guided tour through the building begins in 3 minutes.
F,für,Allgemein/Grammatik,Das ist für Sie. | Das ist der Schlüssel für die Haustür. | Das ist das Brot für morgen.,为了；给,这是给您的。| 这是房门的钥匙。| 这是明天的面包。,for,This is for you. | This is the key for the front door. | This is the bread for tomorrow.
F,"der Fuß, -ü, e",Gesundheit/Körper,Der linke Fuß tut mir weh.,脚,我的左脚疼。,foot,My left foot hurts.
F,der Fußball,Freizeit/Unterhaltung,Spielt ihr gerne Fußball?,足球,你们喜欢踢足球吗？,soccer; football,Do you like playing soccer?
G,der Garten,Wohnen,Wir haben leider keinen Garten.,花园,很遗憾，我们没有花园。,garden,Unfortunately we do not have a garden.
G,"der Gast, -ä, e",Essen/Trinken,Am Wochenende haben wir mehrere Gäste.,客人,周末我们有好几位客人。,guest,We have several guests at the weekend.
G,geben,Allgemein/Grammatik,Kannst du mir bitte deinen Kugelschreiber geben? | Es gibt keine Karten mehr.,给；有,你能把你的圆珠笔给我吗？| 已经没有票了。,to give,Can you please give me your pen? | There are no tickets left.
G,geboren,Person,Ich bin in Zagreb geboren.,出生的,我出生在萨格勒布。,born,I was born in Zagreb.
G,das Geburtsjahr,Person,"Das Geburtsjahr Ihres Sohnes, bitte?",出生年份,请问您儿子的出生年份？,year of birth,"Your son's year of birth, please?"
G,der Geburtsort,Person,Bitte schreiben Sie Ihren Geburtsort auf das Formular.,出生地,请把您的出生地写在表格上。,place of birth,Please write your place of birth on the form.
G,der Geburtstag,Person,Herzlichen Glückwunsch zum Geburtstag!,生日,祝你生日快乐！,birthday,Happy birthday!
G,gefallen,Allgemein/Grammatik,Das gefällt mir.,喜欢；合意,我喜欢这个。,to please; to like,I like that.
G,gegen,Allgemein/Grammatik,Fahr nicht gegen den Baum! | Ich bin gegen diese Lösung. | Wer spielt gegen wen?,反对；撞到；对阵,别撞到树！| 我反对这个方案。| 谁对谁比赛？,against; around,Do not drive into the tree! | I am against this solution. | Who is playing against whom?
G,gehen,Allgemein/Grammatik,"Ich weiß nicht, wie das geht. | Wie geht‘s? | Jetzt muss ich (aber) leider gehen. | Ich muss zum Arzt gehen. | Das geht nicht!",去；走；进行,我不知道这怎么做。| 你好吗？| 现在我很遗憾必须走了。| 我必须去看医生。| 这不行！,to go; to work,I do not know how that works. | How are you? | Now I unfortunately have to go. | I have to go to the doctor. | That does not work!
G,gehören,Allgemein/Grammatik,Wem gehört das?,属于,这属于谁？,to belong,Who does that belong to?
G,das Geld,Einkaufen/Gebrauchsartikel,Hast du noch Geld?,钱,你还有钱吗？,money,Do you still have money?
G,das Gepäck,Reisen/Verkehr,Wollen Sie Ihr Gepäck mitnehmen?,行李,您要带上您的行李吗？,luggage,Do you want to take your luggage with you?
G,gerade,Allgemein/Grammatik,Da kommt er ja gerade.,刚刚；正好,他正好来了。,just; right now,There he is just coming now.
G,geradeaus,Reisen/Verkehr,Gehen Sie immer geradeaus!,一直往前,请一直往前走！,straight ahead,Always go straight ahead!
G,gern(e),Allgemein/Grammatik,Ich gehe gerne einkaufen.,喜欢地；愿意,我喜欢去购物。,gladly; like to,I like going shopping.
G,"das Geschäft, -e",Einkaufen/Gebrauchsartikel,Die Geschäfte schließen um 18.30 Uhr.,商店；生意,商店18点30分关门。,shop; business,The shops close at 6:30 p.m.
G,"das Geschenk, -e",Einkaufen/Gebrauchsartikel,Danke für das schöne Geschenk.,礼物,谢谢这个漂亮的礼物。,gift,Thank you for the beautiful gift.
G,die Geschwister (pl.),Person,Ich habe leider keine Geschwister.,兄弟姐妹,很遗憾，我没有兄弟姐妹。,siblings,Unfortunately I do not have any siblings.
G,"das Gespräch, -e",Kommunikation/Sprache,Das Gespräch mit Frau Kunz ist um 14 Uhr.,谈话,和昆茨女士的谈话在14点。,conversation; appointment,The conversation with Ms. Kunz is at 2 p.m.
G,gestern,Zeit/Datum,Gestern war ich krank.,昨天,昨天我病了。,yesterday,Yesterday I was sick.
G,gestorben,Person,Meine Frau ist gestern gestorben.,去世的,我的妻子昨天去世了。,dead; died,My wife died yesterday.
G,"das Getränk, -e",Essen/Trinken,Mein Lieblingsgetränk ist Tomatensaft.,饮料,我最喜欢的饮料是番茄汁。,drink; beverage,My favorite drink is tomato juice.
G,das Gewicht,Person,Bei „Gewicht“ schreibst du: 62 Kilo.,体重,在“体重”那里你写：62公斤。,weight,"For weight, write: 62 kilos."
G,gewinnen,Freizeit/Unterhaltung,Wer gewinnt das Spiel?,赢,谁赢得比赛？,to win,Who wins the game?
G,"das Glas, -ä, er",Essen/Trinken,Bitte noch ein Glas Wein! | Wir brauchen noch drei Gläser.,玻璃杯；杯,请再来一杯葡萄酒！| 我们还需要三个玻璃杯。,glass,"Another glass of wine, please! | We still need three glasses."
G,glauben,Allgemein/Grammatik,"Sie können mir glauben, es ist so. | Ich glaube, er kommt gleich.",相信；认为,您可以相信我，情况就是这样。| 我想他马上来。,to believe,You can believe me; it is true. | I think he is coming soon.
G,gleich,Allgemein/Grammatik,Das ist mir gleich. | Das ist der gleiche Preis. | Ich komme gleich.,相同的；马上；无所谓,对我来说都一样。| 价格一样。| 我马上来。,same; right away; indifferent,It is all the same to me. | That is the same price. | I will come right away.
G,"das Gleis, -e",Reisen/Verkehr,Der ICE nach Berlin hält heute an Gleis 12.,站台；轨道,今天去柏林的ICE停在12号站台。,track; platform,The ICE to Berlin stops at platform 12 today.
G,das Glück,Allgemein/Grammatik,Viel Glück!,好运；幸福,祝你好运！,luck,Good luck!
G,glücklich,Allgemein/Grammatik,Meine Kinder sind glücklich verheiratet.,幸福的；开心的,我的孩子们婚姻幸福。,happy,My children are happily married.
G,der Glückwunsch,Kommunikation/Sprache,Herzlichen Glückwunsch zum Geburtstag.,祝贺,衷心祝贺你生日快乐。,congratulation,Congratulations on your birthday.
G,Grad (Celsius),Umwelt,Heute haben wir dreißig Grad.,度（摄氏）,今天有三十度。,degree Celsius,Today it is thirty degrees.
G,gratulieren,Kommunikation/Sprache,Ich gratuliere dir!,祝贺,我祝贺你！,to congratulate,I congratulate you!
G,grillen,Essen/Trinken,Heute grillen wir im Garten.,烧烤,今天我们在花园里烧烤。,to grill; barbecue,Today we are grilling in the garden.
G,groß,Person,Mein Bruder und ich sind gleich groß. | Frankfurt ist eine große Stadt.,大的；高的,我哥哥和我一样高。| 法兰克福是一座大城市。,big; tall,My brother and I are the same height. | Frankfurt is a big city.
G,die Größe,Person,Haben Sie das auch in Größe 40?,尺码；大小,这个也有40码吗？,size,Do you also have that in size 40?
G,die Großeltern (pl.),Person,Meine Großeltern leben in Japan.,祖父母；外祖父母,我的祖父母住在日本。,grandparents,My grandparents live in Japan.
G,die Großmutter,Person,Meine Großmutter heißt Eva.,祖母；外祖母,我的祖母叫埃娃。,grandmother,My grandmother's name is Eva.
G,der Großvater,Person,Mein Großvater ist schon 80.,祖父；外祖父,我的祖父已经80岁了。,grandfather,My grandfather is already 80.
G,"die Gruppe, -n",Person,Die erste Gruppe beginnt um 16 Uhr.,小组；团体,第一组16点开始。,group,The first group begins at 4 p.m.
G,"der Gruß, -ü, e",Kommunikation/Sprache,Viele Grüße an Ihre Frau. | Mit freundlichen Grüßen,问候,代我向您太太问好。| 致以友好的问候。,greeting,Greetings to your wife. | Kind regards.
G,gültig,Allgemein/Grammatik,Der Pass ist nicht mehr gültig.,有效的,护照已经无效了。,valid,The passport is no longer valid.
G,günstig,Einkaufen/Gebrauchsartikel,Dort gibt es günstige Angebote.,便宜的；划算的,那里有便宜的优惠。,cheap; good value,There are inexpensive offers there.
G,gut,Allgemein/Grammatik,Das finde ich gut. | Ich komme um 13 Uhr. – Gut! | Guten Morgen! | Ein gutes neues Jahr! | Guten Appetit!,好的,我觉得这很好。| 我13点来。——好！| 早上好！| 新年好！| 祝您好胃口！,good,I think that is good. | I will come at 1 p.m. - Good! | Good morning! | Happy New Year! | Enjoy your meal!
H,"das Haar, -e",Person,Sie hat lange Haare.,头发,她有长头发。,hair,She has long hair.
H,haben,Allgemein/Grammatik,Ich habe ein neues Auto.,有,我有一辆新车。,to have,I have a new car.
H,"das Hähnchen, - die Halbpension",Essen/Trinken,Ein Hähnchen mit Pommes bitte! | Möchten Sie Vollpension oder Halbpension?,烤鸡；半膳,请来一份烤鸡配薯条！| 您要全膳还是半膳？,chicken; half board,"Chicken with fries, please! | Would you like full board or half board?"
H,die Halle,Allgemein/Grammatik,Wir treffen uns in Halle B,大厅,我们在B大厅见。,hall,We are meeting in Hall B.
H,halten,Allgemein/Grammatik,Dieser Zug hält nicht in Rüdesheim.,停靠；停下,这列火车不停靠吕德斯海姆。,to stop; to hold,This train does not stop in Rüdesheim.
H,die Haltestelle,Reisen/Verkehr,An der nächsten Haltestelle müssen Sie aussteigen.,车站；停靠站,您必须在下一站下车。,stop; station,You have to get off at the next stop.
H,"die Hand, -ä, e",Gesundheit/Körper,Er gibt mir die Hand.,手,他和我握手。,hand,He shakes my hand.
H,"das Handy, -s",Dienstleistungen,In der Schule bitte die Handys ausmachen!,手机,在学校请关掉手机！,mobile phone,Please turn off mobile phones in school!
H,"das Haus, -ä, er",Wohnen,In welchem Haus wohnst du? | Ich gehe jetzt nach Hause. | Paul ist nicht zu Hause.,房子；家,你住在哪栋房子里？| 我现在回家。| 保罗不在家。,house; home,Which house do you live in? | I am going home now. | Paul is not at home.
H,"die Hausaufgabe,-n",Erziehung/Ausbildung/Lernen,Kannst du mir bei den Hausaufgaben helfen?,家庭作业,你能帮我做家庭作业吗？,homework,Can you help me with the homework?
H,"die Hausfrau, -en/der Hausmann",Arbeit/Beruf,"Die Hausfrau/der Hausmann wäscht, kocht und kauft | ein.",家庭主妇；家庭主夫,家庭主妇/家庭主夫洗衣、做饭和购物。,housewife; househusband,"The housewife/househusband washes, cooks, and shops."
H,die Heimat,Person,Ich komme aus der Schweiz. Das ist meine Heimat.,家乡,我来自瑞士。那是我的家乡。,home; homeland,I come from Switzerland. That is my home country.
H,heiraten,Person,Meine Schwester heiratet einen Japaner.,结婚,我姐姐要嫁给一个日本人。,to marry,My sister is marrying a Japanese man.
H,heißen,Allgemein/Grammatik,Ich heiße Charlotte Meier. | Wie heißt das auf Deutsch?,叫；意思是,我叫夏洛特·迈尔。| 这个用德语怎么说？,to be called; to mean,My name is Charlotte Meier. | What is that called in German?
H,helfen,Allgemein/Grammatik,"Können Sie mir helfen, bitte?",帮助,您能帮我吗？,to help,"Can you help me, please?"
H,hell,Allgemein/Grammatik,Im Sommer ist es bis 21 Uhr hell.,明亮的,夏天到21点天还亮。,bright; light,In summer it is light until 9 p.m.
H,der Herd,Wohnen,In der neuen Küche fehlt noch der Herd.,炉灶,新厨房里还缺炉灶。,stove,The stove is still missing in the new kitchen.
H,"der Herr, -en",Person,"Guten Tag, Herr Sommer!",先生,您好，索默先生！,Mr.; gentleman,"Good day, Mr. Sommer!"
H,herzlich,Allgemein/Grammatik,Herzlichen Glückwunsch!,衷心的,衷心祝贺！,hearty; cordial,Congratulations!
H,heute,Zeit/Datum,Heute ist ein schöner Tag.,今天,今天是美好的一天。,today,Today is a beautiful day.
H,hier,Allgemein/Grammatik,"Hier ist 06131-553221, Pamela Linke. | Hier wohne ich.",这里,这里是06131-553221，帕梅拉·林克。| 我住在这里。,here,"This is 06131-553221, Pamela Linke. | I live here."
H,die Hilfe,Allgemein/Grammatik,Hilfe! Bitte helfen Sie mir! | Brauchen Sie meine Hilfe?,帮助,救命！请帮帮我！| 您需要我的帮助吗？,help,Help! Please help me! | Do you need my help?
H,hinten,Allgemein/Grammatik,Die Tür zum Aussteigen ist hinten.,后面,下车的门在后面。,at the back,The door for getting off is at the back.
H,"das Hobby, -s",Freizeit/Unterhaltung,Meine Hobbys sind Wandern und Schwimmen.,爱好,我的爱好是徒步和游泳。,hobby,My hobbies are hiking and swimming.
H,hoch,Person,Der Mount Everest ist 8.880 Meter hoch.,高的,珠穆朗玛峰高8880米。,high; tall,"Mount Everest is 8,880 meters high."
H,die Hochzeit,Person,Zur dieser Hochzeit kommen mehr als fünfzig Gäste.,婚礼,会有五十多位客人来参加这场婚礼。,wedding,More than fifty guests are coming to this wedding.
H,holen,Allgemein/Grammatik,Ich hole zwei Flaschen Wasser aus der Küche.,去拿；取来,我从厨房拿两瓶水。,to fetch; to get,I am getting two bottles of water from the kitchen.
H,hören,Kommunikation/Sprache,Hör mal! Was ist das? | Ich habe das Lied schon mal gehört.,听,听！那是什么？| 我已经听过这首歌。,to hear,Listen! What is that? | I have heard the song before.
H,"das Hotel, -s",Reisen/Verkehr,Im Urlaub sind wir in einem Hotel am Meer.,酒店,假期我们住在海边的一家酒店。,hotel,On vacation we are staying in a hotel by the sea.
H,"der Hund, -e",Umwelt,Der Hund ist noch jung.,狗,这只狗还小。,dog,The dog is still young.
H,der Hunger,Essen/Trinken,Ich habe Hunger! Wann ist das Essen fertig?,饥饿,我饿了！饭什么时候好？,hunger,I am hungry! When is the food ready?
I,ich,Person,Ich heiße Veronika.,我,我叫维罗妮卡。,I,My name is Veronika.
I,ihr/ihm/ihn,Person,Gib ihr/ihm bitte das Buch. | Ruf ihn bitte an.,她/他/他（宾格）,请把书给她/他。| 请给他打电话。,her; him,Please give her/him the book. | Please call him.
I,immer,Zeit/Datum,Frau Bast kommt immer zu spät.,总是,巴斯特女士总是迟到。,always,Ms. Bast is always late.
I,in,Allgemein/Grammatik,"Ich wohne in Wiesbaden. | Der Zug kommt in fünf Minuten. | Frau Rausch arbeitet in einem Geschäft. | Komm, wir gehen ins Kino.",在……里；到……后,我住在威斯巴登。| 火车五分钟后到。| 劳施女士在一家商店工作。| 来，我们去电影院。,in; into,"I live in Wiesbaden. | The train comes in five minutes. | Ms. Rausch works in a shop. | Come on, we are going to the cinema."
I,"die Information, -en",Kommunikation/Sprache,"Wenn Sie Fragen haben, gehen Sie zur Information. | Wir haben hier wichtige Informationen für Sie.",信息；咨询处,如果您有问题，请去咨询处。| 我们这里有重要信息给您。,information,"If you have questions, go to the information desk. | We have important information for you here."
I,international,Allgemein/Grammatik,"Unser Deutschkurs ist international: Silvana kommt | aus Italien, Conchi aus Spanien, Yin aus China...",国际的,我们的德语课很国际化：西尔瓦娜来自意大利，孔奇来自西班牙，尹来自中国……,international,"Our German course is international: Silvana is from Italy, Conchi from Spain, Yin from China..."
I,das Internet,Freizeit/Unterhaltung,Das findest du im Internet.,互联网,你可以在互联网上找到这个。,internet,You can find that on the internet.
J,ja,Allgemein/Grammatik,Sind Sie Herr Watanabe? – Ja.,是的,您是渡边先生吗？——是的。,yes,Are you Mr. Watanabe? - Yes.
J,"die Jacke, -n",Einkaufen/Gebrauchsartikel,Zieh dir eine Jacke an. Es ist kalt.,夹克,穿上一件夹克。天气冷。,jacket,Put on a jacket. It is cold.
J,jed- jetzt,Zeit/Datum,Blumen kannst du in jedem Bahnhof kaufen. | Jetzt machen wir eine Pause.,每个；现在,花你可以在每个火车站买到。| 现在我们休息一下。,each; every; now,You can buy flowers in every train station. | Now we are taking a break.
J,"der Job, -s",Arbeit/Beruf,Jenny hat einen neuen Job bei der Post.,工作；职位,珍妮在邮局有了一份新工作。,job,Jenny has a new job at the post office.
J,"der Jugendliche, -n",Person,Viele Jugendliche kaufen gern ein.,青少年,很多青少年喜欢购物。,young person; teenager,Many young people like shopping.
J,jung,Person,Claudia ist 21. – Was? Noch so jung?,年轻的,克劳迪娅21岁。——什么？还这么年轻？,young,Claudia is 21. What? Still so young?
J,"der Junge, -n",Person,Ich habe zwei Kinder. Einen Jungen und ein Mädchen.,男孩,我有两个孩子。一个男孩和一个女孩。,boy,I have two children: a boy and a girl.
K,der Kaffee,Essen/Trinken,Zum Frühstück trinke ich immer Kaffee.,咖啡,早餐我总是喝咖啡。,coffee,I always drink coffee for breakfast.
